Group,Title,X,Y,Description,Longitude,Latitude
a,Awakino River,1760028.573,5730164.725,Nice moderate sized stream with rainbow trout fishing ,174.836754,-38.562567
a,Awakino River,1759081.475,5731192.417,Nice moderate sized stream with rainbow trout fishing ,174.8256544,-38.55348014
a,Awakino River,1758469.03,5731950.954,Nice moderate sized stream with rainbow trout fishing ,174.818457,-38.546757
a,Awakino River,1758220.377,5732198.111,Nice moderate sized stream with rainbow trout fishing ,174.815549,-38.544575
a,Awakino River,1758225.004,5733288.996,Nice moderate sized stream with rainbow trout fishing ,174.815355,-38.534748
a,Awakino River,1757807.01,5733911.055,Nice moderate sized stream with rainbow trout fishing ,174.810421,-38.529219
b,Awakino River,1757360.978,5736498.974,Nice moderate sized stream with rainbow trout fishing ,174.804724,-38.505987
b,Awakino River,1757575.837,5737325.163,Nice moderate sized stream with rainbow trout fishing ,174.807001,-38.498507
b,Awakino River,1757587.709,5737800.859,Nice moderate sized stream with rainbow trout fishing ,174.80703,-38.49422
b,Awakino River,1757506.893,5737826.315,Nice moderate sized stream with rainbow trout fishing ,174.806098,-38.494005
b,Awakino River,1757629.454,5738140.528,Nice moderate sized stream with rainbow trout fishing ,174.807432,-38.491153
b,Awakino River,1757793.87,5738927.848,Nice moderate sized stream with rainbow trout fishing ,174.809139,-38.484032
b,Awakino River,1757947.843,5739293.84,Nice moderate sized stream with rainbow trout fishing ,174.810821,-38.480708
b,Hikutaia River,1837671.74,5869079.27,Small rainbows in the pools along with larger spawning fish during May/June,175.6813044,-37.29456018
b,Hikutaia River,1839382.49,5869096.47,Small rainbows in the pools along with larger spawning fish during May/June,175.7005792,-37.29396664
b,Hikutaia River,1840413.91,5869146.63,Small rainbows in the pools along with larger spawning fish during May/June,175.712187,-37.29324902
b,Hikutaia River,1841102.33,5869697.22,Small rainbows in the pools along with larger spawning fish during May/June,175.7197667,-37.28811345
b,Hikutaia River,1841934.77,5869262.96,Access via paper road to upstream fishing,175.7292888,-37.29180734
b,Kaimarama River,1835851.85,5916925.89,Small stream with full public access upstream,175.6457689,-36.86418283
b,Kaimarama River,1832698.58,5915516.34,Small stream with full public access upstream,175.6108616,-36.87765812
b,Kakahu Stream,1852885,5797610,"Small stream, good public access but overgrown in parts.  Often high fish numbers in autumn.",175.8774488,-37.93392972
b,Kaniwhaniwha Stream ,1782845,5800990,Excellent access upstream along public walkway upstream and 0.9 km downstream,175.0802174,-37.9202766
